# Neutrino-Ar40 nc cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-4.964364732104951   -8.212815461610098e-07   -8.212815461610098e-07   -8.212815461610098e-07   -8.212815461610098e-07   -8.212815461610098e-07   -8.212815461610098e-07
-4.95115228823253   -1.4831005681584837e-06   -1.4831005681584837e-06   -1.4831005681584837e-06   -1.4831005681584837e-06   -1.4831005681584837e-06   -1.4831005681584837e-06
-4.938112139072703   -2.144919590155951e-06   -2.144919590155951e-06   -2.144919590155951e-06   -2.144919590155951e-06   -2.144919590155951e-06   -2.144919590155951e-06
-4.925239848845467   -2.8067386121534252e-06   -2.8067386121534252e-06   -2.8067386121534252e-06   -2.8067386121534252e-06   -2.8067386121534252e-06   -2.8067386121534252e-06
-4.9125311508967915   -3.468557634150899e-06   -3.468557634150899e-06   -3.468557634150899e-06   -3.468557634150899e-06   -3.468557634150899e-06   -3.468557634150899e-06
-4.8999819392085655   -4.130376656148373e-06   -4.130376656148373e-06   -4.130376656148373e-06   -4.130376656148373e-06   -4.130376656148373e-06   -4.130376656148373e-06
-4.887588260434701   -4.792195678145841e-06   -4.792195678145841e-06   -4.792195678145841e-06   -4.792195678145841e-06   -4.792195678145841e-06   -4.792195678145841e-06
-4.8753463064247295   -5.454014700143315e-06   -5.454014700143315e-06   -5.454014700143315e-06   -5.454014700143315e-06   -5.454014700143315e-06   -5.454014700143315e-06
-4.863252407199522   -6.115833722140788e-06   -6.115833722140788e-06   -6.115833722140788e-06   -6.115833722140788e-06   -6.115833722140788e-06   -6.115833722140788e-06
-4.851303024346722   -6.777652744138262e-06   -6.777652744138262e-06   -6.777652744138262e-06   -6.777652744138262e-06   -6.777652744138262e-06   -6.777652744138262e-06
-4.8394947448061325   -7.439471766135736e-06   -7.439471766135736e-06   -7.439471766135736e-06   -7.439471766135736e-06   -7.439471766135736e-06   -7.439471766135736e-06
-4.827824275017772   -8.101290788133198e-06   -8.101290788133198e-06   -8.101290788133198e-06   -8.101290788133198e-06   -8.101290788133198e-06   -8.101290788133198e-06
-4.81628843540748   -8.763109810130672e-06   -8.763109810130672e-06   -8.763109810130672e-06   -8.763109810130672e-06   -8.763109810130672e-06   -8.763109810130672e-06
-4.804884155186981   -7.633783511040249e-06   -7.633783511040249e-06   -7.633783511040249e-06   -7.633783511040249e-06   -7.633783511040249e-06   -7.633783511040249e-06
-4.7936084674471235   -1.9717629300125152e-06   -1.9717629300125152e-06   -1.9717629300125152e-06   -1.9717629300125152e-06   -1.9717629300125152e-06   -1.9717629300125152e-06
-4.782458504524696   3.6902576510152185e-06   3.6902576510152185e-06   3.6902576510152185e-06   3.6902576510152185e-06   3.6902576510152185e-06   3.6902576510152185e-06
-4.7714314936246955   9.352278232042955e-06   9.352278232042955e-06   9.352278232042955e-06   9.352278232042955e-06   9.352278232042955e-06   9.352278232042955e-06
-4.760524752681346   1.501429881307069e-05   1.501429881307069e-05   1.501429881307069e-05   1.501429881307069e-05   1.501429881307069e-05   1.501429881307069e-05
