# Neutrino-Ar40 nc cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-2.1559963e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.150258e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.144595e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.1390045e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.133485e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.128035e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.1226525e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.117336e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.1120837e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.106894e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.1017659e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.0966973e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.0916874e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.0867348e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.0818377e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.0769954e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.0722063e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.0674696e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.062784e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.0581484e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.0535617e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.049023e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.044531e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.0400853e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.0356846e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.031328e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.0270147e+00   9.2498906e-04   9.2498906e-04   9.2498906e-04   9.2498906e-04   9.2498906e-04   9.2498906e-04
-2.0227437e+00   2.557878e-03   2.557878e-03   2.557878e-03   2.557878e-03   2.557878e-03   2.557878e-03
-2.0185144e+00   4.1907667e-03   4.1907667e-03   4.1907667e-03   4.1907667e-03   4.1907667e-03   4.1907667e-03
-2.0143259e+00   5.8236555e-03   5.8236555e-03   5.8236555e-03   5.8236555e-03   5.8236555e-03   5.8236555e-03
-2.0101774e+00   7.4565443e-03   7.4565443e-03   7.4565443e-03   7.4565443e-03   7.4565443e-03   7.4565443e-03
-2.0060682e+00   9.089434e-03   9.089434e-03   9.089434e-03   9.089434e-03   9.089434e-03   9.089434e-03
-2.0019975e+00   1.0722322e-02   1.0722322e-02   1.0722322e-02   1.0722322e-02   1.0722322e-02   1.0722322e-02
-1.9979645e+00   1.2355211e-02   1.2355211e-02   1.2355211e-02   1.2355211e-02   1.2355211e-02   1.2355211e-02
-1.9939686e+00   1.39881e-02   1.39881e-02   1.39881e-02   1.39881e-02   1.39881e-02   1.39881e-02
-1.9900092e+00   1.5620989e-02   1.5620989e-02   1.5620989e-02   1.5620989e-02   1.5620989e-02   1.5620989e-02
-1.9860855e+00   1.7253878e-02   1.7253878e-02   1.7253878e-02   1.7253878e-02   1.7253878e-02   1.7253878e-02
-1.982197e+00   1.8886765e-02   1.8886765e-02   1.8886765e-02   1.8886765e-02   1.8886765e-02   1.8886765e-02
-1.978343e+00   2.0519655e-02   2.0519655e-02   2.0519655e-02   2.0519655e-02   2.0519655e-02   2.0519655e-02
-1.974523e+00   2.0774538e-02   2.0774538e-02   2.0774538e-02   2.0774538e-02   2.0774538e-02   2.0774538e-02
-1.9707361e+00   2.0785691e-02   2.0785691e-02   2.0785691e-02   2.0785691e-02   2.0785691e-02   2.0785691e-02
-1.9669821e+00   2.0796847e-02   2.0796847e-02   2.0796847e-02   2.0796847e-02   2.0796847e-02   2.0796847e-02
-1.9632602e+00   2.0808e-02   2.0808e-02   2.0808e-02   2.0808e-02   2.0808e-02   2.0808e-02
-1.9595699e+00   2.0819155e-02   2.0819155e-02   2.0819155e-02   2.0819155e-02   2.0819155e-02   2.0819155e-02
-1.9559108e+00   2.0830309e-02   2.0830309e-02   2.0830309e-02   2.0830309e-02   2.0830309e-02   2.0830309e-02
-1.9522822e+00   2.0841463e-02   2.0841463e-02   2.0841463e-02   2.0841463e-02   2.0841463e-02   2.0841463e-02
-1.9486836e+00   2.0852618e-02   2.0852618e-02   2.0852618e-02   2.0852618e-02   2.0852618e-02   2.0852618e-02
-1.9451147e+00   2.0863771e-02   2.0863771e-02   2.0863771e-02   2.0863771e-02   2.0863771e-02   2.0863771e-02
-1.9415748e+00   2.0874925e-02   2.0874925e-02   2.0874925e-02   2.0874925e-02   2.0874925e-02   2.0874925e-02
-1.9380636e+00   2.088608e-02   2.088608e-02   2.088608e-02   2.088608e-02   2.088608e-02   2.088608e-02
-1.9345804e+00   2.0897234e-02   2.0897234e-02   2.0897234e-02   2.0897234e-02   2.0897234e-02   2.0897234e-02
-1.9311252e+00   2.1100322e-02   2.1100322e-02   2.1100322e-02   2.1100322e-02   2.1100322e-02   2.1100322e-02
-1.9276971e+00   2.2555148e-02   2.2555148e-02   2.2555148e-02   2.2555148e-02   2.2555148e-02   2.2555148e-02
-1.9242958e+00   2.4009973e-02   2.4009973e-02   2.4009973e-02   2.4009973e-02   2.4009973e-02   2.4009973e-02
-1.920921e+00   2.54648e-02   2.54648e-02   2.54648e-02   2.54648e-02   2.54648e-02   2.54648e-02
-1.9175721e+00   2.6919626e-02   2.6919626e-02   2.6919626e-02   2.6919626e-02   2.6919626e-02   2.6919626e-02
-1.914249e+00   2.8374452e-02   2.8374452e-02   2.8374452e-02   2.8374452e-02   2.8374452e-02   2.8374452e-02
-1.910951e+00   2.9829279e-02   2.9829279e-02   2.9829279e-02   2.9829279e-02   2.9829279e-02   2.9829279e-02
-1.907678e+00   3.1284105e-02   3.1284105e-02   3.1284105e-02   3.1284105e-02   3.1284105e-02   3.1284105e-02
-1.9044293e+00   3.273893e-02   3.273893e-02   3.273893e-02   3.273893e-02   3.273893e-02   3.273893e-02
-1.9012048e+00   3.4193754e-02   3.4193754e-02   3.4193754e-02   3.4193754e-02   3.4193754e-02   3.4193754e-02
-1.8980042e+00   3.564858e-02   3.564858e-02   3.564858e-02   3.564858e-02   3.564858e-02   3.564858e-02
-1.8948269e+00   3.7103407e-02   3.7103407e-02   3.7103407e-02   3.7103407e-02   3.7103407e-02   3.7103407e-02
-1.8916726e+00   3.8558234e-02   3.8558234e-02   3.8558234e-02   3.8558234e-02   3.8558234e-02   3.8558234e-02
-1.8885411e+00   3.9847516e-02   3.9847516e-02   3.9847516e-02   3.9847516e-02   3.9847516e-02   3.9847516e-02
-1.8854321e+00   4.0904578e-02   4.0904578e-02   4.0904578e-02   4.0904578e-02   4.0904578e-02   4.0904578e-02
-1.8823451e+00   4.1961636e-02   4.1961636e-02   4.1961636e-02   4.1961636e-02   4.1961636e-02   4.1961636e-02
-1.87928e+00   4.30187e-02   4.30187e-02   4.30187e-02   4.30187e-02   4.30187e-02   4.30187e-02
-1.8762363e+00   4.4075757e-02   4.4075757e-02   4.4075757e-02   4.4075757e-02   4.4075757e-02   4.4075757e-02
-1.8732138e+00   4.513282e-02   4.513282e-02   4.513282e-02   4.513282e-02   4.513282e-02   4.513282e-02
-1.8702122e+00   4.6189878e-02   4.6189878e-02   4.6189878e-02   4.6189878e-02   4.6189878e-02   4.6189878e-02
-1.8672311e+00   4.724694e-02   4.724694e-02   4.724694e-02   4.724694e-02   4.724694e-02   4.724694e-02
-1.8642704e+00   4.8304e-02   4.8304e-02   4.8304e-02   4.8304e-02   4.8304e-02   4.8304e-02
-1.8613298e+00   4.936106e-02   4.936106e-02   4.936106e-02   4.936106e-02   4.936106e-02   4.936106e-02
-1.8584089e+00   5.041812e-02   5.041812e-02   5.041812e-02   5.041812e-02   5.041812e-02   5.041812e-02
-1.8555076e+00   5.1475182e-02   5.1475182e-02   5.1475182e-02   5.1475182e-02   5.1475182e-02   5.1475182e-02
-1.8526255e+00   5.318146e-02   5.318146e-02   5.318146e-02   5.318146e-02   5.318146e-02   5.318146e-02
-1.8497623e+00   5.65784e-02   5.65784e-02   5.65784e-02   5.65784e-02   5.65784e-02   5.65784e-02
-1.846918e+00   5.997535e-02   5.997535e-02   5.997535e-02   5.997535e-02   5.997535e-02   5.997535e-02
-1.8440921e+00   6.337229e-02   6.337229e-02   6.337229e-02   6.337229e-02   6.337229e-02   6.337229e-02
-1.8412846e+00   6.6769235e-02   6.6769235e-02   6.6769235e-02   6.6769235e-02   6.6769235e-02   6.6769235e-02
-1.838495e+00   7.016618e-02   7.016618e-02   7.016618e-02   7.016618e-02   7.016618e-02   7.016618e-02
-1.8357233e+00   7.356313e-02   7.356313e-02   7.356313e-02   7.356313e-02   7.356313e-02   7.356313e-02
-1.8329692e+00   7.696007e-02   7.696007e-02   7.696007e-02   7.696007e-02   7.696007e-02   7.696007e-02
-1.8302324e+00   8.0357015e-02   8.0357015e-02   8.0357015e-02   8.0357015e-02   8.0357015e-02   8.0357015e-02
-1.8275127e+00   8.375396e-02   8.375396e-02   8.375396e-02   8.375396e-02   8.375396e-02   8.375396e-02
-1.8248099e+00   8.71509e-02   8.71509e-02   8.71509e-02   8.71509e-02   8.71509e-02   8.71509e-02
-1.8221239e+00   9.0547845e-02   9.0547845e-02   9.0547845e-02   9.0547845e-02   9.0547845e-02   9.0547845e-02
-1.8194544e+00   9.3944795e-02   9.3944795e-02   9.3944795e-02   9.3944795e-02   9.3944795e-02   9.3944795e-02
-1.8168012e+00   9.734174e-02   9.734174e-02   9.734174e-02   9.734174e-02   9.734174e-02   9.734174e-02
-1.8141642e+00   1.0073868e-01   1.0073868e-01   1.0073868e-01   1.0073868e-01   1.0073868e-01   1.0073868e-01
-1.811543e+00   1.04135625e-01   1.04135625e-01   1.04135625e-01   1.04135625e-01   1.04135625e-01   1.04135625e-01
-1.8089375e+00   1.0753257e-01   1.0753257e-01   1.0753257e-01   1.0753257e-01   1.0753257e-01   1.0753257e-01
-1.8063476e+00   1.1025144e-01   1.1025144e-01   1.1025144e-01   1.1025144e-01   1.1025144e-01   1.1025144e-01
-1.803773e+00   1.1233033e-01   1.1233033e-01   1.1233033e-01   1.1233033e-01   1.1233033e-01   1.1233033e-01
-1.8012136e+00   1.1440922e-01   1.1440922e-01   1.1440922e-01   1.1440922e-01   1.1440922e-01   1.1440922e-01
-1.7986692e+00   1.16488114e-01   1.16488114e-01   1.16488114e-01   1.16488114e-01   1.16488114e-01   1.16488114e-01
-1.7961397e+00   1.18567e-01   1.18567e-01   1.18567e-01   1.18567e-01   1.18567e-01   1.18567e-01
-1.7936248e+00   1.2064589e-01   1.2064589e-01   1.2064589e-01   1.2064589e-01   1.2064589e-01   1.2064589e-01
-1.7911243e+00   1.2272478e-01   1.2272478e-01   1.2272478e-01   1.2272478e-01   1.2272478e-01   1.2272478e-01
-1.7886381e+00   1.2480367e-01   1.2480367e-01   1.2480367e-01   1.2480367e-01   1.2480367e-01   1.2480367e-01
-1.7861662e+00   1.2688255e-01   1.2688255e-01   1.2688255e-01   1.2688255e-01   1.2688255e-01   1.2688255e-01
-1.7837082e+00   1.2896144e-01   1.2896144e-01   1.2896144e-01   1.2896144e-01   1.2896144e-01   1.2896144e-01
-1.7812641e+00   1.3104033e-01   1.3104033e-01   1.3104033e-01   1.3104033e-01   1.3104033e-01   1.3104033e-01
-1.7788335e+00   1.3311923e-01   1.3311923e-01   1.3311923e-01   1.3311923e-01   1.3311923e-01   1.3311923e-01
-1.7764167e+00   1.3588098e-01   1.3588098e-01   1.3588098e-01   1.3588098e-01   1.3588098e-01   1.3588098e-01
