# Neutrino-Ar40 nc cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-5.267349321983568   0.0   0.0   0.0   0.0   0.0   0.0
-5.249198354420286   0.0   0.0   0.0   0.0   0.0   0.0
-5.231370979683245   0.0   0.0   0.0   0.0   0.0   0.0
-5.213855861644066   0.0   0.0   0.0   0.0   0.0   0.0
-5.196642249626443   0.0   0.0   0.0   0.0   0.0   0.0
-5.179719938773375   0.0   0.0   0.0   0.0   0.0   0.0
-5.1630792337124   0.0   0.0   0.0   0.0   0.0   0.0
-5.146710915194865   0.0   0.0   0.0   0.0   0.0   0.0
-5.130606209421823   0.0   0.0   0.0   0.0   0.0   0.0
-5.114756759801046   0.0   0.0   0.0   0.0   0.0   0.0
-5.099154600907518   0.0   0.0   0.0   0.0   0.0   0.0
-5.083792134444297   0.0   0.0   0.0   0.0   0.0   0.0
-5.068662107022123   0.0   0.0   0.0   0.0   0.0   0.0
-5.053757589595104   0.0   0.0   0.0   0.0   0.0   0.0
-5.039071958406543   0.0   0.0   0.0   0.0   0.0   0.0
-5.024598877313762   0.0   0.0   0.0   0.0   0.0   0.0
-5.01033228137385   0.0   0.0   0.0   0.0   0.0   0.0
-4.996266361583923   0.0   0.0   0.0   0.0   0.0   0.0
-4.982395550679802   0.0   0.0   0.0   0.0   0.0   0.0
-4.968714509906206   0.0   0.0   0.0   0.0   0.0   0.0
-4.955218116679793   0.0   0.0   0.0   0.0   0.0   0.0
-4.941901453073702   0.0   0.0   0.0   0.0   0.0   0.0
-4.9287597950588085   0.0   0.0   0.0   0.0   0.0   0.0
-4.915788602442802   0.0   0.0   0.0   0.0   0.0   0.0
-4.902983509453467   0.0   0.0   0.0   0.0   0.0   0.0
-4.890340315917283   0.0   0.0   0.0   0.0   0.0   0.0
-4.877854978988766   0.0   0.0   0.0   0.0   0.0   0.0
-4.865523605389776   0.0   0.0   0.0   0.0   0.0   0.0
-4.8533424441215285   267.52372286408195   267.52372286408195   267.52372286408195   267.52372286408195   267.52372286408195   267.52372286408195
-4.841307879615175   1990.2589052633791   1990.2589052633791   1990.2589052633791   1990.2589052633791   1990.2589052633791   1990.2589052633791
-4.829416425289654   3712.994087662708   3712.994087662708   3712.994087662708   3712.994087662708   3712.994087662708   3712.994087662708
-4.817664717488096   5435.7292700620055   5435.7292700620055   5435.7292700620055   5435.7292700620055   5435.7292700620055   5435.7292700620055
-4.8060495097663996   7158.464452461302   7158.464452461302   7158.464452461302   7158.464452461302   7158.464452461302   7158.464452461302
-4.79456766750971   8881.1996348606   8881.1996348606   8881.1996348606   8881.1996348606   8881.1996348606   8881.1996348606
-4.783216162854482   10603.934817259897   10603.934817259897   10603.934817259897   10603.934817259897   10603.934817259897   10603.934817259897
-4.771992069895517   12326.669999659225   12326.669999659225   12326.669999659225   12326.669999659225   12326.669999659225   12326.669999659225
-4.760892560159027   14049.405182058523   14049.405182058523   14049.405182058523   14049.405182058523   14049.405182058523   14049.405182058523
-4.749914898324179   15772.14036445782   15772.14036445782   15772.14036445782   15772.14036445782   15772.14036445782   15772.14036445782
-4.739056438176942   17494.875546857118   17494.875546857118   17494.875546857118   17494.875546857118   17494.875546857118   17494.875546857118
-4.728314618781261   19217.610729256416   19217.610729256416   19217.610729256416   19217.610729256416   19217.610729256416   19217.610729256416
-4.7176869608536895   20940.345911655742   20940.345911655742   20940.345911655742   20940.345911655742   20940.345911655742   20940.345911655742
-4.707171063328666   22663.08109405501   22663.08109405501   22663.08109405501   22663.08109405501   22663.08109405501   22663.08109405501
-4.6967646001025   24385.816276454338   24385.816276454338   24385.816276454338   24385.816276454338   24385.816276454338   24385.816276454338
-4.6864653169450525   26108.551458853635   26108.551458853635   26108.551458853635   26108.551458853635   26108.551458853635   26108.551458853635
-4.676271028568826   27831.286641252933   27831.286641252933   27831.286641252933   27831.286641252933   27831.286641252933   27831.286641252933
-4.666179615845958   29554.02182365223   29554.02182365223   29554.02182365223   29554.02182365223   29554.02182365223   29554.02182365223
-4.656189023164233   31276.757006051528   31276.757006051528   31276.757006051528   31276.757006051528   31276.757006051528   31276.757006051528
-4.646297255913869   32999.49218845086   32999.49218845086   32999.49218845086   32999.49218845086   32999.49218845086   32999.49218845086
-4.636502378097399   34722.22737085012   34722.22737085012   34722.22737085012   34722.22737085012   34722.22737085012   34722.22737085012
-4.626802510055464   36444.962553249454   36444.962553249454   36444.962553249454   36444.962553249454   36444.962553249454   36444.962553249454
-4.6171958263018595   38167.69773564875   38167.69773564875   38167.69773564875   38167.69773564875   38167.69773564875   38167.69773564875
-4.607680553461583   38284.81353530686   38284.81353530686   38284.81353530686   38284.81353530686   38284.81353530686   38284.81353530686
-4.598254968306055   38390.89415020388   38390.89415020388   38390.89415020388   38390.89415020388   38390.89415020388   38390.89415020388
-4.588917395880086   38496.97476510091   38496.97476510091   38496.97476510091   38496.97476510091   38496.97476510091   38496.97476510091
-4.579666207715477   38603.05537999794   38603.05537999794   38603.05537999794   38603.05537999794   38603.05537999794   38603.05537999794
-4.570499820126498   38709.13599489496   38709.13599489496   38709.13599489496   38709.13599489496   38709.13599489496   38709.13599489496
-4.561416692582785   38815.21660979199   38815.21660979199   38815.21660979199   38815.21660979199   38815.21660979199   38815.21660979199
-4.552415326155466   38921.29722468901   38921.29722468901   38921.29722468901   38921.29722468901   38921.29722468901   38921.29722468901
