# Neutrino-Ar40 nc cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-1.e+01   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-4.e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-3.69897e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-3.5228786e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-3.39794e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-3.30103e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-3.2218487e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-3.154902e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-3.09691e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-3.0457575e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-3.e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.9586072e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.9208188e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.8860567e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.853872e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.8239088e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.79588e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.769551e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.7447276e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.7212465e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.69897e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.6777806e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.6575773e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.638272e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.6197886e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.60206e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.5850267e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.5686362e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.552842e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.537602e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.5228786e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.5086384e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.49485e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.481486e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.468521e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.455932e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.4436975e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.4317982e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.4202163e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.4089353e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.39794e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.387216e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.3767507e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.3665316e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.3565474e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.3467875e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.3372421e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.327902e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.3187587e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.309804e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.30103e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.29243e+00   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04   -2.2402566e-04
-2.2839966e+00   -2.1445632e-04   -2.1445632e-04   -2.1445632e-04   -2.1445632e-04   -2.1445632e-04   -2.1445632e-04
-2.2757242e+00   -1.9206526e-04   -1.9206526e-04   -1.9206526e-04   -1.9206526e-04   -1.9206526e-04   -1.9206526e-04
-2.2676063e+00   -1.6967418e-04   -1.6967418e-04   -1.6967418e-04   -1.6967418e-04   -1.6967418e-04   -1.6967418e-04
-2.2596374e+00   -1.472831e-04   -1.472831e-04   -1.472831e-04   -1.472831e-04   -1.472831e-04   -1.472831e-04
-2.251812e+00   -1.2489203e-04   -1.2489203e-04   -1.2489203e-04   -1.2489203e-04   -1.2489203e-04   -1.2489203e-04
-2.2441251e+00   -1.0250097e-04   -1.0250097e-04   -1.0250097e-04   -1.0250097e-04   -1.0250097e-04   -1.0250097e-04
-2.236572e+00   -8.0109894e-05   -8.0109894e-05   -8.0109894e-05   -8.0109894e-05   -8.0109894e-05   -8.0109894e-05
-2.229148e+00   -5.7718822e-05   -5.7718822e-05   -5.7718822e-05   -5.7718822e-05   -5.7718822e-05   -5.7718822e-05
-2.2218487e+00   -3.532775e-05   -3.532775e-05   -3.532775e-05   -3.532775e-05   -3.532775e-05   -3.532775e-05
-2.2146702e+00   -1.2903349e-05   -1.2903349e-05   -1.2903349e-05   -1.2903349e-05   -1.2903349e-05   -1.2903349e-05
-2.2076082e+00   9.598181e-06   9.598181e-06   9.598181e-06   9.598181e-06   9.598181e-06   9.598181e-06
-2.2006595e+00   3.209971e-05   3.209971e-05   3.209971e-05   3.209971e-05   3.209971e-05   3.209971e-05
-2.19382e+00   5.460124e-05   5.460124e-05   5.460124e-05   5.460124e-05   5.460124e-05   5.460124e-05
-2.1870866e+00   7.710277e-05   7.710277e-05   7.710277e-05   7.710277e-05   7.710277e-05   7.710277e-05
-2.1804562e+00   9.96043e-05   9.96043e-05   9.96043e-05   9.96043e-05   9.96043e-05   9.96043e-05
-2.1739252e+00   1.2210583e-04   1.2210583e-04   1.2210583e-04   1.2210583e-04   1.2210583e-04   1.2210583e-04
-2.1674912e+00   1.4460736e-04   1.4460736e-04   1.4460736e-04   1.4460736e-04   1.4460736e-04   1.4460736e-04
-2.161151e+00   1.6710888e-04   1.6710888e-04   1.6710888e-04   1.6710888e-04   1.6710888e-04   1.6710888e-04
-2.154902e+00   1.8961042e-04   1.8961042e-04   1.8961042e-04   1.8961042e-04   1.8961042e-04   1.8961042e-04
-2.1487417e+00   2.1211195e-04   2.1211195e-04   2.1211195e-04   2.1211195e-04   2.1211195e-04   2.1211195e-04
-2.1426675e+00   2.3461347e-04   2.3461347e-04   2.3461347e-04   2.3461347e-04   2.3461347e-04   2.3461347e-04
-2.136677e+00   2.57115e-04   2.57115e-04   2.57115e-04   2.57115e-04   2.57115e-04   2.57115e-04
-2.1307683e+00   2.7961654e-04   2.7961654e-04   2.7961654e-04   2.7961654e-04   2.7961654e-04   2.7961654e-04
-2.1249387e+00   3.0211807e-04   3.0211807e-04   3.0211807e-04   3.0211807e-04   3.0211807e-04   3.0211807e-04
-2.1191864e+00   3.2461958e-04   3.2461958e-04   3.2461958e-04   3.2461958e-04   3.2461958e-04   3.2461958e-04
-2.1135092e+00   3.4712112e-04   3.4712112e-04   3.4712112e-04   3.4712112e-04   3.4712112e-04   3.4712112e-04
-2.1079054e+00   3.6824652e-04   3.6824652e-04   3.6824652e-04   3.6824652e-04   3.6824652e-04   3.6824652e-04
-2.102373e+00   3.7966258e-04   3.7966258e-04   3.7966258e-04   3.7966258e-04   3.7966258e-04   3.7966258e-04
-2.09691e+00   3.9107868e-04   3.9107868e-04   3.9107868e-04   3.9107868e-04   3.9107868e-04   3.9107868e-04
-2.091515e+00   4.0249477e-04   4.0249477e-04   4.0249477e-04   4.0249477e-04   4.0249477e-04   4.0249477e-04
-2.0861862e+00   4.1391084e-04   4.1391084e-04   4.1391084e-04   4.1391084e-04   4.1391084e-04   4.1391084e-04
-2.080922e+00   4.2532693e-04   4.2532693e-04   4.2532693e-04   4.2532693e-04   4.2532693e-04   4.2532693e-04
-2.0757208e+00   4.3674302e-04   4.3674302e-04   4.3674302e-04   4.3674302e-04   4.3674302e-04   4.3674302e-04
-2.070581e+00   4.4815912e-04   4.4815912e-04   4.4815912e-04   4.4815912e-04   4.4815912e-04   4.4815912e-04
-2.0655015e+00   4.5957518e-04   4.5957518e-04   4.5957518e-04   4.5957518e-04   4.5957518e-04   4.5957518e-04
-2.0604808e+00   4.7099128e-04   4.7099128e-04   4.7099128e-04   4.7099128e-04   4.7099128e-04   4.7099128e-04
-2.0555174e+00   4.8240737e-04   4.8240737e-04   4.8240737e-04   4.8240737e-04   4.8240737e-04   4.8240737e-04
-2.05061e+00   4.9382343e-04   4.9382343e-04   4.9382343e-04   4.9382343e-04   4.9382343e-04   4.9382343e-04
-2.0457575e+00   5.052395e-04   5.052395e-04   5.052395e-04   5.052395e-04   5.052395e-04   5.052395e-04
-2.0409586e+00   5.166556e-04   5.166556e-04   5.166556e-04   5.166556e-04   5.166556e-04   5.166556e-04
-2.0362122e+00   5.280717e-04   5.280717e-04   5.280717e-04   5.280717e-04   5.280717e-04   5.280717e-04
-2.031517e+00   5.394878e-04   5.394878e-04   5.394878e-04   5.394878e-04   5.394878e-04   5.394878e-04
-2.0268722e+00   5.5090385e-04   5.5090385e-04   5.5090385e-04   5.5090385e-04   5.5090385e-04   5.5090385e-04
-2.0222764e+00   5.6231994e-04   5.6231994e-04   5.6231994e-04   5.6231994e-04   5.6231994e-04   5.6231994e-04
-2.0177288e+00   5.7373603e-04   5.7373603e-04   5.7373603e-04   5.7373603e-04   5.7373603e-04   5.7373603e-04
-2.0132282e+00   5.851521e-04   5.851521e-04   5.851521e-04   5.851521e-04   5.851521e-04   5.851521e-04
-2.008774e+00   5.965682e-04   5.965682e-04   5.965682e-04   5.965682e-04   5.965682e-04   5.965682e-04
-2.0043647e+00   6.061643e-04   6.061643e-04   6.061643e-04   6.061643e-04   6.061643e-04   6.061643e-04
-2.e+00   6.079462e-04   6.079462e-04   6.079462e-04   6.079462e-04   6.079462e-04   6.079462e-04
-1.9956787e+00   6.097281e-04   6.097281e-04   6.097281e-04   6.097281e-04   6.097281e-04   6.097281e-04
